Fermin Lopez	Lopez
1. Have your match ticket ready, 2. Check your assigned entrance gate, 3. Arrive early at the stadium, 4. Go to the correct access gate, 5. Pass through security checks, 6. Scan your ticket at the turnstile, 7. Follow signs to your seat, 8. Take your place before kickoff.	
1. Register your media outlet in the accreditation system, 2. Fill out the match-specific request form, 3. Provide outlet and role details, 4. Submit within the allowed timeframe, 5. Wait for approval, 6. Receive confirmation with collection instructions, 7. Collect your media pass on match day with valid ID, 8. Access the designated press areas.	
1. Determine the nature and category of your complaint or inquiry, 2. Visit the official FC Barcelona website and go to the “Contact” or “Customer Service” section, 3. Fill out the complaint form with personal details and a clear description of the issue, 4. Attach any relevant documents or receipts, 5. Submit the form and receive acknowledgment of receipt, 6. Wait for the relevant department to review and investigate, 7. Receive a formal response or resolution, 8. Follow up politely if no response is received within a reasonable time.	
1. Meet the pre-screening requirements (criminal record check and two references), 2. Undergo review of qualifications, technical training, experience, and safeguarding knowledge, 3. Complete reference checks with at least two referees, 4. Participate in personal interviews with safeguarding and technical staff, 5. If selected, sign the contract, 6. Receive induction and training on the Child Safeguarding Policy and Code of Conduct, 7. Complete team and environment induction to begin work.	
1. Identify the type of community or social initiative and define objectives, target audience, and resources, 2. Contact FC Barcelona through the Barça Foundation channels via a collaboration form or email, 3. Submit a detailed project proposal including goals, impact, timeline, roles, and organizational background, 4. Respond to any requests for additional information or meetings from the foundation, 5. Finalize an agreement outlining responsibilities, resources, timelines, and reporting, 6. Maintain regular communication during the project to ensure objectives are met, 7. Participate in a review or evaluation upon project completion.	
1. Identify the specific logos or images you wish to use and define the purpose of use, 2. Ensure your intended use complies with FC Barcelona’s intellectual property and brand guidelines, 3. Contact the club’s licensing or legal department via the official website, 4. Provide a detailed request including materials, context, duration, distribution plans, and information about your organization or project, 5. Respond to any requests for additional information or clarifications, 6. Receive formal permission or a license specifying terms of use, 7. Use the images or logos strictly according to the approved guidelines and report usage if required.	
1. Confirm whether the training session is open to external media through the official website or media announcements, 2. Prepare your credentials including blog, portfolio, or analytics platform demonstrating professional football-related work, 3. Submit a formal accreditation request to FC Barcelona’s Media Department via the contact form or email, 4. Include your name, outlet or blog details, website links, audience metrics, reason for attending, and equipment to be used, 5. Wait for approval or rejection from the club, 6. Follow the instructions provided regarding arrival times, security, permitted areas, and media restrictions, 7. Present identification and comply with all rules during the session.	
1. Log into your member account on FC Barcelona’s official website, 2. Access the “Membership” or “Socis” section, 3. Review requirements and conditions for the desired modification or upgrade, 4. Submit a formal request online, via email, or in person at the Membership Office, 5. Provide any supporting documents if required, 6. Wait for the membership team to review and approve the request, 7. Pay any applicable fees, 8. Receive confirmation and updated membership details or card.
1. Monitor FC Barcelona’s official academy website for trial events, camps, or scouting opportunities, 2. Use your football network such as coaches, agents, or contacts to get noticed by academy scouts, 3. Submit video clips showcasing your technical skills, game vision, and decision-making, 4. Participate in FC Barcelona football camps and training programs, 5. Remain persistent, patient, and continue improving your skills, 6. For international players, develop at a reputable local academy, play in international tournaments, join official Barcelona camps, contact La Masia through official channels, and work with a reputable football agent if possible, 7. Prepare thoroughly for the trial by training regularly, studying Barcelona’s playing style, maintaining confidence and humility, bringing proper equipment, and staying calm, 8. During the trial, demonstrate technical skills, tactical understanding, physical fitness, and mental attributes, 9. Await evaluation from coaches and, if successful, accept a place at La Masia.
a) Lewandowski	
a) 1st	
a) Deco	
b) 2	
c) Raphinha	
b) Paris Saint Germain	
c) Ramón Sánchez-Pizjuán	
d) 12	
d) 10	
c) Joan Garcia	
a) Marcus Rashford	
c) Manchester United	
c) 4 years	
a) Nico Williams	
c) Ousmane Dembélé	
b) Sporting Director	
c) 28	
c) 3	
c) Inter Milan	
d) Semi-final	
b) Aitana Bonmatí	
d) Athletic Club	
b) 5	
a) Marcus Sorg	
